Promotion Seen,Timestamp
Feed Follow Option Coachmark,1609538521
Grade Adjusted Pace Activity Detail Upsell,1612622606
Grade Adjusted Pace Activity Detail Upsell,1625239068
Grade Adjusted Pace Activity Detail Upsell,1625239078
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NSF_DISMISSED"">Nsf Dismissed</span>",1617539250
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616172828
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616339823
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616459087
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_SHARE_FEATURE_ED"">Evergreen Stats Share Feature Ed</span>",1616459124
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_HOME"">Navigation Tab Home</span>",1620345310
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS"">Navigation Tab Maps</span>",1620367490
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS"">Navigation Tab Groups</span>",1620367503
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU"">Navigation Tab You</span>",1620367484
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROGRESS"">Navigation Tab You Progress</span>",1620627108
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_ACTIVITIES"">Navigation Tab You Activities</span>",1620345945
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROFILE"">Navigation Tab You Profile</span>",1620627091
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SEGMENTS"">Navigation Tab Maps Segments</span>",1620367489
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_ROUTES"">Navigation Tab Maps Routes</span>",1620367498
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SAVED"">Navigation Tab Maps Saved</span>",1626140449
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_ACTIVE"">Navigation Tab Groups Active</span>",1620367503
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CHALLENGES"">Navigation Tab Groups Challenges</span>",1620788559
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CLUBS"">Navigation Tab Groups Clubs</span>",1621029767
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620672132
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620687770
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620697411
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620750837
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620752714
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620755360
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1621029664
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1621058443
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1621124649
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1622600624
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1622686851
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1622748093
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620697425
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620788559
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1621029767
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1621304270
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_MAPS_J2"">Navigation Tab Education Modal Maps J2</span>",1622848622
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_GROUPS_J2"">Navigation Tab Education Modal Groups J2</span>",1622848627
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.RECORD_SCREEN_ROUTES_COACHMARK"">Record Screen Routes Coachmark</span>",1629718053
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.RECORD_SCREEN_BEACON_COACHMARK"">Record Screen Beacon Coachmark</span>",1630499992
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_SETTINGS_PERSONAL_HEATMAP_COACHMARK"">Map Settings Personal Heatmap Coachmark</span>",1634140423
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636028609
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636201121
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636204364
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636292995
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636292999
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636293018
